MovielID,Name,Gnere,Introduction,Director,Writers,Stars
34,Babe (1995) ,Comedy|Drama|Family,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",Chris Noonan,Dick King-Smith|George Miller,James Cromwell|Magda Szubanski|Christine Cavanaugh
35,Carrington (1995) ,Biography|Drama|Romance,The platonic relationship between artist Dora Carrington (Dame Emma Thompson) and writer Lytton Strachey (Jonathan Pryce) in the early twentieth century.,Christopher Hampton,Christopher Hampton|Michael Holroyd,Emma Thompson|Jonathan Pryce|Steven Waddington
36,Dead Man Walking (1995) ,Crime|Drama,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,Helen Prejean|Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky
37,Across the Sea of Time (1995) ,Adventure|Drama|Family,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ",Stephen Low,Andrew Gellis,Peter Reznick|John McDonough|Avi Hoffman
38,It Takes Two (1995) ,Comedy|Family|Romance,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",Andy Tennant,Deborah Dean Davis,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen
39,Clueless (1995) ,Comedy|Romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Amy Heckerling,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy
40,"Cry, the Beloved Country (1995) ",Drama|Thriller,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",Darrell Roodt,Ronald Harwood|Alan Paton,Richard Harris|James Earl Jones|Vusi Kunene
41,Richard III (1995) ,Drama|Sci-Fi|War,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard Loncraine,Ian McKellen|Richard Loncraine,Ian McKellen|Annette Bening|Christopher Bowen
42,Dead Presidents (1995) ,Action|Crime|Drama,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",Albert Hughes|Allen Hughes,Allen Hughes|Albert Hughes,Larenz Tate|Keith David|Chris Tucker
43,Restoration (1995) ,Biography|Drama|History,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",Michael Hoffman,Rose Tremain|Rupert Walters,Robert Downey Jr.|Sam Neill|David Thewlis
44,Mortal Kombat (1995) ,Action|Adventure|Fantasy,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,Paul W.S. Anderson,Ed Boon|John Tobias,Christopher Lambert|Robin Shou|Linden Ashby
45,To Die For (1995) ,Comedy|Crime|Drama,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,Gus Van Sant,Joyce Maynard|Buck Henry,Nicole Kidman|Matt Dillon|Joaquin Phoenix
46,How to Make an American Quilt (1995) ,Comedy|Drama|Romance,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,Jocelyn Moorhouse,Whitney Otto|Jane Anderson,Winona Ryder|Ellen Burstyn|Anne Bancroft
47,Se7en (1995) ,Crime|Drama|Mystery,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,Andrew Kevin Walker,Morgan Freeman|Brad Pitt|Kevin Spacey
48,Pocahontas (1995) ,Animation|Adventure|Drama,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,Mike Gabriel|Eric Goldberg,Carl Binder|Susannah Grant,Mel Gibson|Linda Hunt|Christian Bale
49,When Night Is Falling (1995) ,Drama|Romance,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",Patricia Rozema,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny
50,Silver Shamrocks vs The Usual Suspects             ,Game-Show,"The pool c finals arrive as The Usual Suspects (1-0) march into the finals following a victory over The Odd Couple and a forfeit from Truth About Chaos, while Silver Shamrocks (2-1) swept ",,,Kaleb Koho|Paul Oyama|Lucas Schildbach
51,Guardian Angel (1994) ,Action|Drama|Thriller,"A wealthy playboy hires an attractive woman detective, turned bodyguard, to protect him from a psychotic seductress; the same woman who killed the detective's lover just months before.",Richard W. Munchkin,Joe Hart,Cynthia Rothrock|Daniel McVicar|Lydie Denier
52,Mighty Aphrodite (1995) ,Comedy|Fantasy|Romance,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Woody Allen,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair
53,Lamerica (1994) ,Drama,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye.",Gianni Amelio,Gianni Amelio|Andrea Porporati,Enrico Lo Verso|Michele Placido|Piro Milkani
54,The Big Green (1995) ,Comedy|Family|Sport,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.",Holly Goldberg Sloan,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders
55,Georgia (1995) ,Drama|Music,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,Ulu Grosbard,Barbara Turner,Jennifer Jason Leigh|Mare Winningham|Ted Levine
56,Kids of the Round Table (1995) ,Adventure|Comedy|Family,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil 
                    ",Robert Tinnell,David Sherman|Robert Tinnell,Johnny Morina|Maggie Castle|Christopher Olscamp
57,Home for the Holidays (1995) ,Comedy|Drama|Romance,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",Jodie Foster,Chris Radant|W.D. Richter,Holly Hunter|Anne Bancroft|Robert Downey Jr.
58,Il postino (1994) ,Biography|Comedy|Drama,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Michael Radford|Massimo Troisi,Antonio Skármeta|Furio Scarpelli,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta
59,Le confessionnal (1995) ,Drama|Mystery|Thriller,"The year is 1952, in Québec City, Québec. Rachel (Suzanne Clément), sixteen, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young Priest under            ",Robert Lepage,Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette
60,The Indian in the Cupboard (1995) ,Drama|Family|Fantasy,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick.",Frank Oz,Lynne Reid Banks|Melissa Mathison,Hal Scardino|Litefoot|Lindsay Crouse
61,Eye for an Eye (1996) ,Crime|Drama|Thriller,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",John Schlesinger,Erika Holzer|Amanda Silver,Sally Field|Kiefer Sutherland|Ed Harris
62,Mr. Holland's Opus (1995) ,Drama|Music,A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss|Glenne Headly|Jay Thomas
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) ,Comedy|Crime,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",Paris Barclay,Shawn Wayans|Marlon Wayans,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans
64,Two If by Sea (1996) ,Comedy|Crime|Romance,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.,Bill Bennett,Denis Leary|Mike Armstrong,Sandra Bullock|Denis Leary|Stephen Dillane
65,Bio-Dome (1996) ,Comedy,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Jason Bloom,Adam Leff|Mitchell Peck,Pauly Shore|Stephen Baldwin|William Atherton
66,Lawnmower Man 2: Beyond Cyberspace (1996) ,Action|Sci-Fi|Thriller,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and            ",Farhad Mann,Farhad Mann|Michael Miner,Patrick Bergin|Matt Frewer|Austin O'Brien
67,Two Bits (1995) ,Drama,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.",James Foley,Joseph Stefano,Al Pacino|Mary Elizabeth Mastrantonio|Jerry Barone
68,Gazon maudit (1995) ,Comedy,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",Josiane Balasko,Patrick Aubrée|Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat
69,Friday (1995) ,Comedy|Drama,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",F. Gary Gray,Ice Cube|DJ Pooh,Ice Cube|Chris Tucker|Nia Long
70,From Dusk Till Dawn (1996) ,Action|Crime|Horror,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,Robert Kurtzman|Quentin Tarantino,Harvey Keitel|George Clooney|Juliette Lewis
71,Fair Game (1995) ,Action|Romance|Thriller,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",Andrew Sipes,Paula Gosling|Charlie Fletcher,William Baldwin|Cindy Crawford|Steven Berkoff
72,Kicking and Screaming (1995) ,Comedy|Drama|Romance,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",Noah Baumbach,Noah Baumbach|Bo Berkman,Josh Hamilton|Eric Stoltz|Samuel Gould
73,Les Misérables (2012) ,Drama|History|Musical,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",Tom Hooper,William Nicholson|Alain Boublil,Hugh Jackman|Russell Crowe|Anne Hathaway
74,Bed of Roses (1996) ,Drama|Romance,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",Michael Goldenberg,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon
75,Big Bully (1996) ,Comedy|Thriller,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",Steve Miner,Mark Steven Johnson,Rick Moranis|Tom Arnold|Julianne Phillips
76,Screamers (1995) ,Horror|Sci-Fi|Thriller,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience.",Christian Duguay,Philip K. Dick|Dan O'Bannon,Peter Weller|Roy Dupuis|Jennifer Rubin
77,Nico Icon (1995) ,Documentary|Biography|Music,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,
                    ",Susanne Ofteringer,Susanne Ofteringer,Nico|Tina Aumont|Christian Päffgen
78,MassDOT Crossing Guard Training (2018) ,Short,Add a Plot »,Jimmy Jay Frieden,,Rebecca Cyr|Carlos Robles Malave
79,The Juror (1996) ,Crime|Drama|Thriller,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,Brian Gibson,George Dawes Green|Ted Tally,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt
80,Badkonake sefid (1995) ,Drama|Family,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Jafar Panahi,Abbas Kiarostami|Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy
81,Things to Do in Denver When You're Dead (1995) ,Crime|Drama|Thriller,Five different criminals face imminent death after botching a job quite badly.,Gary Fleder,Scott Rosenberg,Andy Garcia|Christopher Walken|Christopher Lloyd
82,Antonia (1995) ,Comedy|Drama,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",Marleen Gorris,Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop
83,Once Upon a Time When We Were Colored (1995) ,Drama|Romance,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,Tim Reid,Clifton L. Taulbert|Paul W. Cooper,Al Freeman Jr.|Phylicia Rashad|Leon
84,Last Summer in the Hamptons (1995) ,Comedy|Drama,"This moving story was the swan song of actress Viveca Lindfors, who died unexpectedly soon after completing it. It's a fitting tribute, as the film explores the last performance in the ancestral home of a large family of actors.",Henry Jaglom,Henry Jaglom|Victoria Foyt,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz
85,Angels and Insects (1995) ,Drama|Romance,In the 1800s a naturalist marries into a family of British country gentry.,Philip Haas,A.S. Byatt|Belinda Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit
86,White Squall (1996) ,Adventure|Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,Ridley Scott,Charles Gieg Jr.|Felix Sutton,Jeff Bridges|Caroline Goodall|John Savage
87,Dunston Checks In (1996) ,Comedy|Adventure|Family,A young boy befriends a larcenous orangutan in a luxury hotel.,Ken Kwapis,John Hopkins|John Hopkins,Jason Alexander|Faye Dunaway|Eric Lloyd
88,Black Sheep (1996) ,Comedy,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,Penelope Spheeris,Fred Wolf,Chris Farley|David Spade|Tim Matheson
89,Nick of Time (1995) ,Action|Crime|Drama,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",John Badham,Patrick Sheane Duncan,Johnny Depp|Christopher Walken|Courtney Chase
90,The Journey of August King (1995) ,Drama,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home as he does every year after selling his 
                    ",John Duigan,John Ehle|John Ehle,Jason Patric|Thandie Newton|Larry Drake
91,The Three Caballeros (1944) ,Animation|Comedy|Family,"Donald receives his birthday gifts, which include traditional gifts and information about Brazil (hosted by Zé Carioca) and Mexico (by Panchito, a Mexican Charro Rooster).",Norman Ferguson|Clyde Geronimi,Homer Brightman|Ernest Terrazas,Aurora Miranda|Carmen Molina|Dora Luz
92,Mary Reilly (1996) ,Drama|Horror|Romance,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",Stephen Frears,Valerie Martin|Christopher Hampton,Julia Roberts|John Malkovich|George Cole
93,Vampire in Brooklyn (1995) ,Comedy|Fantasy|Horror,"A ship docks in Brooklyn with all its crew dead, but someone gets off and the killing continues on land. A Caribbean vampire is searching for a specific woman, half-human half-vampire. Rita is the detective investigating the many killings.",Wes Craven,Eddie Murphy|Vernon Lynch,Eddie Murphy|Angela Bassett|Allen Payne
94,Beautiful Girls (1996) ,Comedy|Drama|Romance,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,Ted Demme,Scott Rosenberg,Matt Dillon|Timothy Hutton|Noah Emmerich
95,Broken Arrow (1996) ,Action|Adventure|Thriller,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,John Woo,Graham Yost,John Travolta|Christian Slater|Samantha Mathis
96,In the Bleak Midwinter             ,Drama|Comedy|Crime,"The Frankie Rio Trio once belonged at the top of the charts, but popularity has dropped and now they are struggling for a comeback. Now finances are so low they have to skip a hotel bill. 
                    ",Gerry Mill,Johnny Byrne,Allan Corduner|Ram John Holder|Alan Price
97,La haine (1995) ,Crime|Drama,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel|Hubert Koundé|Saïd Taghmaoui
98,Shopping (1994) ,Action|Crime|Drama,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry.'",Paul W.S. Anderson,Paul W.S. Anderson,Sadie Frost|Jude Law|Sean Pertwee
99,Heidi Fleiss: Hollywood Madam (1995) ,Documentary|Biography,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the 
                    ",Nick Broomfield,,Nick Broomfield|Nina Xining Zuo|Madam Alex
100,City Hall (1996) ,Drama|Thriller,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",Harold Becker,Ken Lipper|Paul Schrader,Al Pacino|John Cusack|Bridget Fonda
101,Bottle Rocket (1996) ,Comedy|Crime|Drama,Three friends plan to pull off a simple robbery and go on the run.,Wes Anderson,Owen Wilson|Wes Anderson,Luke Wilson|Owen Wilson|Ned Dowd
102,Mr. Wrong (1996) ,Comedy,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll and Hyde true nature.",Nick Castle,Chris Matheson|Kerry Ehrin,Ellen DeGeneres|Bill Pullman|Joan Cusack
103,Unforgettable (1996) ,Drama|Mystery|Sci-Fi,"A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife's and others' memory and maybe find the killer and the mass murderer in a related present case.",John Dahl,Bill Geddie,Ray Liotta|Linda Fiorentino|Peter Coyote
104,Happy Gilmore (1996) ,Comedy|Sport,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,Dennis Dugan,Tim Herlihy|Adam Sandler,Adam Sandler|Christopher McDonald|Julie Bowen
105,The Bridges of Madison County (1995) ,Drama|Romance,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,Richard LaGravenese|Robert James Waller,Clint Eastwood|Meryl Streep|Annie Corley
106,Keiner liebt mich (1994) ,Comedy|Drama,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing up on her. She is obsessed with death, even visits evening classes on dying and so it seems fitting, 
                    ",Doris Dörrie,Doris Dörrie|Doris Dörrie,Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au
107,Muppet Treasure Island (1996) ,Action|Adventure|Comedy,The Muppets' twist on the classic tale.,Brian Henson|David Lane,Robert Louis Stevenson|Jerry Juhl,Tim Curry|Billy Connolly|Jennifer Saunders
108,Catwalk (1995) ,Documentary,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's 
                    ",Robert Leacock,,Christy Turlington|Azzedine Alaïa|Giorgio Armani
109,Headless Body in Topless Bar (1995) ,Comedy|Crime|Drama,"Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who's about to put the group on a collision course 
                    ",James Bruce,Peter Koper,Raymond J. Barry|Rustam Branaman|Jennifer MacDonald
110,Braveheart (1995) ,Biography|Drama|History,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,Randall Wallace,Mel Gibson|Sophie Marceau|Patrick McGoohan
