MovielID,Name,Gnere,Introduction,Director,Writers,Stars
47,Ed Wood (1994) ,Biography|Comedy|Drama,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Tim Burton,Rudolph Grey|Scott Alexander,Johnny Depp|Martin Landau|Sarah Jessica Parker
48,Hoop Dreams (1994) ,Documentary|Drama|Sport,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,Steve James,Steve James|Frederick Marx,William Gates|Arthur Agee|Emma Gates
49,I.Q. (1994) ,Comedy|Romance,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.",Fred Schepisi,Andy Breckman|Andy Breckman,Tim Robbins|Meg Ryan|Walter Matthau
50,Star Wars (1977)             ,,,,Trevor Corson|Marcelo Zuniga,
51,Legends of the Fall (1994) ,Drama|Romance|War,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.",Edward Zwick,Susan Shilliday|William D. Wittliff,Brad Pitt|Anthony Hopkins|Aidan Quinn
52,The Madness of King George (1994) ,Biography|Comedy|Drama,"When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.",Nicholas Hytner,Alan Bennett|Alan Bennett,Nigel Hawthorne|Helen Mirren|Rupert Graves
53,Natural Born Killers (1994) ,Action|Crime|Drama,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Oliver Stone,Quentin Tarantino|David Veloz,Woody Harrelson|Juliette Lewis|Tom Sizemore
54,Outbreak (1995) ,Action|Drama|Thriller,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,Wolfgang Petersen,Laurence Dworet|Robert Roy Pool,Dustin Hoffman|Rene Russo|Morgan Freeman
55,"Dr. Katz, Professional Therapist             ",Animation|Comedy,"A divorced father, he has custody of his 23-year-old slacker son Ben, who dreams of wealth and freedom but is too lazy to find a real job. Dr. Katz's receptionist is the acerbic Laura. He …",Jonathan Katz|Tom Snyder,,Jonathan Katz|H. Jon Benjamin|Laura Silverman
56,Pulp Fiction (1994) ,Crime|Drama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,Quentin Tarantino|Roger Avary,John Travolta|Uma Thurman|Samuel L. Jackson
57,Priest (1994) ,Drama|Romance,"A homosexual Catholic priest finds out during confessional that a young girl is being sexually abused by her father, and has to decide how to deal with both that secret and his own.",Antonia Bird,Jimmy McGovern,Linus Roache|Tom Wilkinson|Robert Carlyle
58,Quiz Show (1994) ,Biography|Drama|History,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",Robert Redford,Paul Attanasio|Richard N. Goodwin,Ralph Fiennes|John Turturro|Rob Morrow
59,Trois couleurs: Rouge (1994) ,Drama|Mystery|Romance,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz,Ir猫ne Jacob|Jean-Louis Trintignant|Fr茅d茅rique Feder
60,Trois couleurs: Bleu (1993) ,Drama|Music|Mystery,A woman struggles to find a way to live her life after the death of her husband and child.,Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz,Juliette Binoche|Zbigniew Zamachowski|Julie Delpy
61,Trois couleurs: Blanc (1994) ,Comedy|Drama|Romance,"After his wife divorces him, a Polish immigrant plots to get even with her.",Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos
62,Stargate (1994) ,Action|Adventure|Sci-Fi,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",Roland Emmerich,Dean Devlin|Roland Emmerich,Kurt Russell|James Spader|Jaye Davidson
63,Desparate House - "The Hope of Children Is Santa Claus"             ,Crime|Drama,,,,Jeanne Young
64,The Shawshank Redemption (1994) ,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,Stephen King|Frank Darabont,Tim Robbins|Morgan Freeman|Bob Gunton
65,What's Eating Gilbert Grape (1993) ,Drama,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallstr枚m,Peter Hedges|Peter Hedges,Johnny Depp|Leonardo DiCaprio|Juliette Lewis
66,While You Were Sleeping (1995) ,Comedy|Drama|Romance,A hopelessly romantic Chicago Transit Authority token collector is mistaken for the fianc茅e of a coma patient.,Jon Turteltaub,Daniel G. Sullivan|Fredric Lebow,Sandra Bullock|Bill Pullman|Peter Gallagher
67,Ace Ventura: Pet Detective (1994) ,Comedy,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,Tom Shadyac,Jack Bernstein|Jack Bernstein,Jim Carrey|Courteney Cox|Sean Young
68,The Crow (1994)             ,Talk-Show,,,,
69,Forrest Gump (1994) ,Drama|Romance,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,Winston Groom|Eric Roth,Tom Hanks|Robin Wright|Gary Sinise
70,Four Weddings and a Funeral (1994) ,Comedy|Drama|Romance,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",Mike Newell,Richard Curtis,Hugh Grant|Andie MacDowell|James Fleet
71,The Lion King (1994)             ,Comedy|Talk-Show,"This is a FIRST for That Movie Show - with the release of the 2019 remake, Mike Wendt and Liam Stryker are taking a look back, for the first time, at a Disney Animated Classic. This is 1994…",,Eddie McCabe|Mike Wendt,Eddie McCabe|Mike Wendt
72,Pulp Fiction (1994) ,Crime|Drama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,Quentin Tarantino|Roger Avary,John Travolta|Uma Thurman|Samuel L. Jackson
73,Maverick (1994) ,Action|Adventure|Comedy,"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.",Richard Donner,Roy Huggins|William Goldman,Mel Gibson|Jodie Foster|James Garner
74,Faster Pussycat! Kill! Kill! (1965)             ,Comedy,,Rob Boor,Rob Boor,Rob Boor|Aaron Oxlade|Eric Boor
75,Brother Minister: The Assassination of Malcolm X (1994) ,Documentary,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the …",Jefri Aalmuhammed|Jack Baxter,Jefri Aalmuhammed|Jack Baxter,Peter Bailey|Roscoe Lee Browne|John Henrik Clarke
76,Carlito's Way (1993) ,Crime|Drama|Thriller,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Brian De Palma,Edwin Torres|David Koepp,Al Pacino|Sean Penn|Penelope Ann Miller
77,The Firm (1993) ,Drama|Mystery|Thriller,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,Sydney Pollack,John Grisham|David Rabe,Tom Cruise|Jeanne Tripplehorn|Gene Hackman
78,Free Willy (1993) ,Adventure|Drama|Family,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",Simon Wincer,Keith Walker|Keith Walker,Jason James Richter|Lori Petty|Michael Madsen
79,The Fugitive (1993) ,Action|Crime|Drama,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Andrew Davis,Jeb Stuart|David Twohy,Harrison Ford|Tommy Lee Jones|Sela Ward
80,Hot Shots! Part Deux (1993) ,Action|Comedy,"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",Jim Abrahams,Jim Abrahams|Pat Proft,Charlie Sheen|Lloyd Bridges|Valeria Golino
81,'The Hudsucker Proxy': The Making of a Fairy Tale             ,Documentary|Short,,,,Ethan Coen|Joel Coen|Jennifer Jason Leigh
82,Jurassic Park (1993) ,Action|Adventure|Sci-Fi,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,Michael Crichton|Michael Crichton,Sam Neill|Laura Dern|Jeff Goldblum
83,Much Ado About Nothing (1993) ,Comedy|Drama|Romance,"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",Kenneth Branagh,William Shakespeare|Kenneth Branagh,Kenneth Branagh|Emma Thompson|Keanu Reeves
84,The Puppet Masters (1994) ,Horror|Sci-Fi|Thriller,The Earth is invaded by stingray-shaped alien "slugs" that ride on people's backs and control their minds.,Stuart Orme,Robert A. Heinlein|Ted Elliott,Donald Sutherland|Eric Thal|Julie Warner
85,The Ref (1994) ,Comedy|Crime|Drama,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",Ted Demme,Marie Weiss|Richard LaGravenese,Denis Leary|Judy Davis|Kevin Spacey
86,The Remains of the Day: The Filmmaker's Journey (2001) ,Documentary|Short,,Meg Staahl,,Kazuo Ishiguro|James Ivory|Ismail Merchant
87,Searching for Bobby Fischer (1993) ,Biography|Drama|Sport,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,Steven Zaillian,Fred Waitzkin|Steven Zaillian,Joe Mantegna|Ben Kingsley|Max Pomeranc
88,Sleepless in Seattle (1993) ,Comedy|Drama|Romance,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,Nora Ephron,Jeff Arch|Nora Ephron,Tom Hanks|Meg Ryan|Ross Malinger
89,Blade Runner (1982) ,Action|Sci-Fi|Thriller,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,Hampton Fancher|David Webb Peoples,Harrison Ford|Rutger Hauer|Sean Young
90,So I Married an Axe Murderer (1993) ,Comedy|Romance,A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.,Thomas Schlamme,Robbie Fox,Mike Myers|Nancy Travis|Anthony LaPaglia
91,The Nightmare Before Christmas (1993) ,Animation|Family|Fantasy,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,Tim Burton|Michael McDowell,Danny Elfman|Chris Sarandon|Catherine O'Hara
92,True Romance (1993) ,Crime|Drama|Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Tony Scott,Quentin Tarantino,Christian Slater|Patricia Arquette|Dennis Hopper
93,Welcome to the Dollhouse (1995) ,Comedy|Drama,"An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey.",Todd Solondz,Todd Solondz,Heather Matarazzo|Christina Brucato|Victoria Davis
94,Home Alone (1990) ,Comedy|Family,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Chris Columbus,John Hughes,Macaulay Culkin|Joe Pesci|Daniel Stern
95,Aladdin (1992) ,Animation|Adventure|Comedy,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements|John Musker,Ron Clements|John Musker,Scott Weinger|Robin Williams|Linda Larkin
96,Terminator 2: Judgment Day (1991) ,Action|Sci-Fi,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",James Cameron,James Cameron|William Wisher,Arnold Schwarzenegger|Linda Hamilton|Edward Furlong
97,Dances with Wolves (1990) ,Adventure|Drama|Western,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Kevin Costner,Michael Blake|Michael Blake,Kevin Costner|Mary McDonnell|Graham Greene
98,The Silence Of The Lambs (1991)             ,Comedy|Horror,"Today, Rob looks at the Academy Award winning Silence Of The Lambs; starring Anthony Hopkins and Jodie Foster in tremendous groundbreaking performances in a truly terrifying picture.",Rob Boor,Rob Boor,Rob Boor
99,Snow White and the Seven Dwarfs (1937) ,Animation|Family|Fantasy,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",William Cottrell|David Hand,Jacob Grimm|Wilhelm Grimm,Adriana Caselotti|Harry Stockwell|Lucille La Verne
100,Fargo (1996) ,Crime|Drama|Thriller,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen|Ethan Coen,Ethan Coen|Joel Coen,William H. Macy|Frances McDormand|Steve Buscemi
101,Heavy Metal (1981) ,Animation|Adventure|Fantasy,"A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror.",Gerald Potterton|John Bruno,Daniel Goldberg|Len Blum,Richard Romanus|John Candy|Joe Flaherty
102,The AristoCats (1970) ,Animation|Adventure|Comedy,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",Wolfgang Reitherman,Larry Clemmons|Vance Gerry,Phil Harris|Eva Gabor|Sterling Holloway
103,All Dogs Go to Heaven 2 (1996) ,Animation|Adventure|Family,"Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home.",Larry Leker|Paul Sabella,Mark Young|Kelly Ward,Charlie Sheen|Sheena Easton|Dom DeLuise
104,Theodore Rex (1995) ,Action|Comedy|Family,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.",Jonathan R. Betuel,Jonathan R. Betuel,Whoopi Goldberg|Armin Mueller-Stahl|Juliet Landau
105,Sgt. Bilko (1996) ,Comedy,"Sgt. Bilko is a well-liked conman in charge of the army base's motor pool, developing a hover tank and unofficially of gambling etc. One man hates Bilko and he's coming to inspect the base for possible closure.",Jonathan Lynn,Nat Hiken|Andy Breckman,Steve Martin|Dan Aykroyd|Phil Hartman
106,Diabolique (1996) ,Drama|Horror|Mystery,The wife and mistress of the sadistic dean of an exclusive prep school conspire to murder him.,Jeremiah S. Chechik,Pierre Boileau|Thomas Narcejac,Sharon Stone|Isabelle Adjani|Chazz Palminteri
107,Moll Flanders (1996) ,Drama|Romance,"The daughter of a thief, young Moll is placed in the care of a nunnery after the execution of her mother. However, the actions of an abusive Priest lead Moll to rebel as a teenager, …",Pen Densham,Daniel Defoe|Pen Densham,Robin Wright|Morgan Freeman|Stockard Channing
108,Kids in the Hall: Brain Candy (1996) ,Comedy,"A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.",Kelly Makin,Norm Hiscock|Bruce McCulloch,Dave Foley|Bruce McCulloch|Kevin McDonald
109,Mystery Science Theater 3000: The Movie (1996) ,Comedy|Sci-Fi,Mike Nelson and his robot companions watch and give their comments about This Island Earth (1955).,Jim Mallon,Michael J. Nelson|Trace Beaulieu,Trace Beaulieu|Michael J. Nelson|Jim Mallon
110,Operation Dumbo Drop (1995) ,Action|Adventure|Comedy,"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.",Simon Wincer,James Morris|Gene Quintano,Danny Glover|Ray Liotta|Denis Leary
111,The Truth About Cats & Dogs (1996) ,Comedy|Romance,A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.,Michael Lehmann,Audrey Wells,Uma Thurman|Janeane Garofalo|Ben Chaplin
112,Flipper (1996) ,Adventure|Family,A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.,Alan Shapiro,Ricou Browning|Jack Cowden,Paul Hogan|Elijah Wood|Jonathan Banks
113,Le hussard sur le toit (1995) ,Adventure|Drama|Romance,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",Jean-Paul Rappeneau,Jean Giono|Jean-Paul Rappeneau,Olivier Martinez|Juliette Binoche|Pierre Arditi
114,George Wallace             ,Biography|Drama,"Following Alabama governor George Wallace through segregation, presidential elections, an assassination attempt and personal trauma.",,,Angelina Jolie|Stieven Davidson|Richard Yett
